file_name,date_time,date_time_parsed
CCAM6_D1_00.jpg,07/06/2023 08:05:06 AM,2023-07-06T08:05:06Z
CCAM6_D1_01.jpg,07/06/2023 08:15:06 AM,2023-07-06T08:15:06Z
CCAM6_D1_02.jpg,07/06/2023 08:25:06 AM,2023-07-06T08:25:06Z
CCAM6_D1_03.jpg,07/06/2023 08:35:05 AM,2023-07-06T08:35:05Z
CCAM6_D1_04.jpg,07/06/2023 08:45:06 AM,2023-07-06T08:45:06Z
CCAM6_D1_05.jpg,07/06/2023 08:55:06 AM,2023-07-06T08:55:06Z
CCAM6_D1_06.jpg,07/06/2023 09:05:06 AM,2023-07-06T09:05:06Z
CCAM6_D1_07.jpg,07/06/2023 09:15:06 AM,2023-07-06T09:15:06Z
CCAM6_D1_08.jpg,07/06/2023 09:25:06 AM,2023-07-06T09:25:06Z
CCAM6_D1_09.jpg,07/06/2023 09:35:06 AM,2023-07-06T09:35:06Z
CCAM6_D1_10.jpg,07/06/2023 09:43:18 AM,2023-07-06T09:43:18Z
CCAM6_D1_11.jpg,07/06/2023 09:45:06 AM,2023-07-06T09:45:06Z
CCAM6_D1_12.jpg,07/06/2023 09:55:06 AM,2023-07-06T09:55:06Z
CCAM6_D1_13.jpg,07/06/202309:59:3AM,2023-07-06T09:59:03Z
CCAM6_D1_14.jpg,07/06/2023 10:02:45 AM,2023-07-06T10:02:45Z
CCAM6_D1_15.jpg,07/06/2023 10:05:06 AM,2023-07-06T10:05:06Z
CCAM6_D1_16.jpg,07/06/2023 10:11:42 AM,2023-07-06T10:11:42Z
CCAM6_D1_17.jpg,07/06/2023 10:15:06 AM,2023-07-06T10:15:06Z
CCAM6_D1_18.jpg,07/06/2023 10:20:15 AM,2023-07-06T10:20:15Z
CCAM6_D1_19.jpg,07/06/2023 10:25:07 AM,2023-07-06T10:25:07Z
CCAM6_D1_20.jpg,07/06/2023 10:35:05 AM,2023-07-06T10:35:05Z
CCAM6_D1_21.jpg,07/06/2023 10:43:57 AM,2023-07-06T10:43:57Z
CCAM6_D1_22.jpg,07/06/2023 10:45:05 AM,2023-07-06T10:45:05Z
CCAM6_D1_23.jpg,07/06/2023 10:55:06 AM,2023-07-06T10:55:06Z
CCAM6_D1_24.jpg,07/06/2023 11:05:06 AM,2023-07-06T11:05:06Z
CCAM6_D1_25.jpg,07/06/2023 11:15:06 AM,2023-07-06T11:15:06Z
CCAM6_D1_26.jpg,07/06/2023 11:18:03 AM,2023-07-06T11:18:03Z
CCAM6_D1_27.jpg,07/06/2023 11:25:06 AM,2023-07-06T11:25:06Z
CCAM6_D1_28.jpg,07/06/2023 11:35:06 AM,2023-07-06T11:35:06Z
CCAM6_D1_29.jpg,07/06/2023 11:45:06 AM,2023-07-06T11:45:06Z
CCAM6_D1_30.jpg,07/06/2023 11:55:06 AM,2023-07-06T11:55:06Z
CCAM6_D1_31.jpg,07/06/2023 12:05:06 PM,2023-07-06T12:05:06Z
CCAM6_D1_32.jpg,07/06/2023 12:15:06 PM,2023-07-06T12:15:06Z
CCAM6_D1_33.jpg,07/06/2023 12:25:06 PM,2023-07-06T12:25:06Z
CCAM6_D1_34.jpg,07/06/2023 12:35:06 PM,2023-07-06T12:35:06Z
CCAM6_D1_35.jpg,07/06/2023 12:45:05 PM,2023-07-06T12:45:05Z
CCAM6_D1_36.jpg,07/06/2023 12:55:06 PM,2023-07-06T12:55:06Z
CCAM6_D1_37.jpg,07/06/2023 01:05:06 PM,2023-07-06T13:05:06Z
